Date,euro_dollar_exchange_rate
1999-06-30,0.971141
1999-07-02,0.976005
1999-07-05,0.978657
1999-07-06,0.97581
1999-07-07,0.978859
1999-07-08,0.979802
1999-07-09,0.982357
1999-07-12,0.986913
1999-07-13,0.982931
1999-07-14,0.978752
1999-07-15,0.978937
1999-07-16,0.980716
1999-07-19,0.979638
1999-07-20,0.96038
1999-07-21,0.94943
1999-07-22,0.951265
1999-07-23,0.952691
1999-07-26,0.938606
1999-07-27,0.941212
1999-07-28,0.940038
1999-07-29,0.932983
1999-07-30,0.935044
1999-08-03,0.935685
1999-08-04,0.929084
1999-08-05,0.926235
1999-08-06,0.92779
1999-08-09,0.933913
1999-08-10,0.930246
1999-08-11,0.937345
1999-08-12,0.939622
1999-08-13,0.946468
1999-08-16,0.946681
1999-08-17,0.950675
1999-08-18,0.952061
1999-08-19,0.940054
1999-08-20,0.938979
1999-08-23,0.947505
1999-08-24,0.952571
1999-08-25,0.955109
1999-08-26,0.957477
1999-08-27,0.955393
1999-08-30,0.956944
1999-08-31,0.944712
1999-09-01,0.944259
1999-09-02,0.9354
1999-09-03,0.942204
1999-09-07,0.944538
1999-09-08,0.944578
1999-09-09,0.948101
1999-09-10,0.960797
1999-09-13,0.961672
1999-09-14,0.960806
1999-09-15,0.962873
1999-09-16,0.960096
1999-09-17,0.961931
1999-09-20,0.961084
1999-09-21,0.955946
1999-09-22,0.952556
1999-09-23,0.960712
1999-09-24,0.955879
1999-09-27,0.959039
1999-09-28,0.9516
1999-09-29,0.941573
1999-09-30,0.939378
1999-10-01,0.932427
1999-10-04,0.933743
1999-10-05,0.935103
1999-10-06,0.934974
1999-10-07,0.932307
1999-10-08,0.94046
1999-10-12,0.931639
1999-10-13,0.929104
1999-10-14,0.926225
1999-10-15,0.918154
1999-10-18,0.920818
1999-10-19,0.923469
1999-10-20,0.928433
1999-10-21,0.92486
1999-10-22,0.937106
1999-10-25,0.937651
1999-10-26,0.945569
1999-10-27,0.94902
1999-10-28,0.95105
1999-10-29,0.950365
1999-11-01,0.952153
1999-11-02,0.951149
1999-11-03,0.954057
1999-11-04,0.958046
1999-11-05,0.961072
1999-11-08,0.964461
1999-11-09,0.96138
1999-11-10,0.957223
1999-11-12,0.969102
1999-11-15,0.968778
1999-11-16,0.968876
1999-11-17,0.960895
1999-11-18,0.969922
1999-11-19,0.969634
1999-11-22,0.967753
1999-11-23,0.974255
1999-11-24,0.982512
1999-11-25,0.980598
1999-11-26,0.985867
1999-11-29,0.989602
1999-11-30,0.991993
1999-12-01,0.993061
1999-12-02,0.99754
1999-12-03,0.999079
1999-12-06,0.975808
1999-12-07,0.97818
1999-12-08,0.97444
1999-12-09,0.98378
1999-12-10,0.984455
1999-12-13,0.988503
1999-12-14,0.993826
1999-12-15,0.993639
1999-12-16,0.983468
1999-12-17,0.990555
1999-12-20,0.993915
1999-12-21,0.991014
1999-12-22,0.992665
1999-12-23,0.983446
1999-12-24,0.986269
1999-12-29,0.994803
1999-12-30,0.997419
1999-12-31,0.993769
2000-01-04,0.969131
2000-01-05,0.967376
2000-01-06,0.968911
2000-01-07,0.971353
2000-01-10,0.975518
2000-01-11,0.968016
2000-01-12,0.972001
2000-01-13,0.973438
2000-01-14,0.987484
2000-01-17,0.991349
2000-01-18,0.98794
2000-01-19,0.988603
2000-01-20,0.987741
2000-01-21,0.989863
2000-01-24,0.997621
2000-01-25,0.996038
2000-01-26,0.998221
2000-01-27,1.011044
2000-01-28,1.025085
2000-01-31,1.025495
2000-02-01,1.027746
2000-02-02,1.022684
2000-02-03,1.011656
2000-02-04,1.0247
2000-02-07,1.022469
2000-02-08,1.014104
2000-02-09,1.008489
2000-02-10,1.013497
2000-02-11,1.015915
2000-02-14,1.022086
2000-02-15,1.017168
2000-02-16,1.016468
2000-02-17,1.01468
2000-02-18,1.015869
2000-02-21,1.013359
2000-02-22,0.993702
2000-02-23,0.998729
2000-02-24,1.009284
2000-02-25,1.01957
2000-02-28,1.047016
2000-02-29,1.036158
2000-03-01,1.031047
2000-03-02,1.023534
2000-03-03,1.03574
2000-03-06,1.042735
2000-03-07,1.042005
2000-03-08,1.043528
2000-03-09,1.039825
2000-03-10,1.039509
2000-03-13,1.032088
2000-03-14,1.039381
2000-03-15,1.036158
2000-03-16,1.033392
2000-03-17,1.033909
2000-03-20,1.027549
2000-03-21,1.027949
2000-03-22,1.040916
2000-03-23,1.040349
2000-03-24,1.0266
2000-03-27,1.029869
2000-03-28,1.034882
2000-03-29,1.045165
2000-03-30,1.048757
2000-03-31,1.044842
2000-04-03,1.047569
2000-04-04,1.049423
2000-04-05,1.036062
2000-04-06,1.038218
2000-04-07,1.048412
2000-04-10,1.044082
2000-04-11,1.043642
2000-04-12,1.043642
2000-04-13,1.045264
2000-04-14,1.046358
2000-04-17,1.041029
2000-04-18,1.053047
2000-04-19,1.055321
2000-04-20,1.064729
2000-04-21,1.06602
2000-04-24,1.064382
2000-04-25,1.074476
2000-04-26,1.087765
2000-04-27,1.085866
2000-04-28,1.100528
2000-05-01,1.095682
2000-05-02,1.095692
2000-05-03,1.111506
2000-05-04,1.121902
2000-05-05,1.121511
2000-05-08,1.117134
2000-05-09,1.112273
2000-05-10,1.100781
2000-05-11,1.10065
2000-05-12,1.10065
2000-05-15,1.092368
2000-05-16,1.101046
2000-05-17,1.112508
2000-05-18,1.121273
2000-05-19,1.118108
2000-05-22,1.110432
2000-05-23,1.096534
2000-05-24,1.097869
2000-05-25,1.108635
2000-05-26,1.092688
2000-05-29,1.067898
2000-05-30,1.067151
2000-05-31,1.071834
2000-06-01,1.070671
2000-06-02,1.069061
2000-06-05,1.060114
2000-06-06,1.056283
2000-06-07,1.046354
2000-06-08,1.043283
2000-06-09,1.046478
2000-06-12,1.049559
2000-06-13,1.042866
2000-06-14,1.039389
2000-06-15,1.051304
2000-06-16,1.044609
2000-06-19,1.038621
2000-06-20,1.045018
2000-06-21,1.051846
2000-06-22,1.063038
2000-06-23,1.06443
2000-06-26,1.070801
2000-06-27,1.063158
2000-06-28,1.059521
2000-06-29,1.059004
2000-06-30,1.04602
2000-07-03,1.052399
2000-07-04,1.055732
2000-07-05,1.047444
2000-07-06,1.051215
2000-07-07,1.051425
2000-07-10,1.051198
2000-07-11,1.047904
2000-07-12,1.052188
2000-07-13,1.068233
2000-07-14,1.068155
2000-07-17,1.067784
2000-07-18,1.07032
2000-07-19,1.08346
2000-07-20,1.08253
2000-07-21,1.069611
2000-07-24,1.071551
2000-07-25,1.065999
2000-07-26,1.062168
2000-07-27,1.064303
2000-07-28,1.078939
2000-07-31,1.082107
2000-08-01,1.080929
2000-08-02,1.089325
2000-08-03,1.097858
2000-08-04,1.106171
2000-08-07,1.100385
2000-08-08,1.10503
2000-08-09,1.111766
2000-08-10,1.106941
2000-08-11,1.096198
2000-08-14,1.107725
2000-08-15,1.096078
2000-08-16,1.100495
2000-08-17,1.092111
2000-08-18,1.09077
2000-08-21,1.105915
2000-08-22,1.108954
2000-08-23,1.11901
2000-08-24,1.110581
2000-08-25,1.112534
2000-08-28,1.109325
2000-08-29,1.110371
2000-08-30,1.125338
2000-08-31,1.118305
2000-09-01,1.124129
2000-09-04,1.108537
2000-09-05,1.120937
2000-09-06,1.134868
2000-09-07,1.153616
2000-09-08,1.148484
2000-09-11,1.164085
2000-09-12,1.16171
2000-09-13,1.156854
2000-09-14,1.155152
2000-09-15,1.15469
2000-09-18,1.171154
2000-09-19,1.173393
2000-09-20,1.183314
2000-09-21,1.174219
2000-09-22,1.141488
2000-09-25,1.141764
2000-09-26,1.143706
2000-09-27,1.128104
2000-09-28,1.1339
2000-09-29,1.137253
2000-10-02,1.136266
2000-10-03,1.140543
2000-10-04,1.143952
2000-10-05,1.146459
2000-10-06,1.147481
2000-10-09,1.150431
2000-10-10,1.148257
2000-10-11,1.145756
2000-10-12,1.157255
2000-10-13,1.156501
2000-10-16,1.1726
2000-10-17,1.177905
2000-10-18,1.169229
2000-10-19,1.187396
2000-10-20,1.182571
2000-10-23,1.190859
2000-10-24,1.192821
2000-10-25,1.201657
2000-10-26,1.206322
2000-10-27,1.202693
2000-10-30,1.176159
2000-10-31,1.187812
2000-11-01,1.177995
2000-11-02,1.163797
2000-11-03,1.161451
2000-11-06,1.147891
2000-11-07,1.158992
2000-11-08,1.165278
2000-11-09,1.172478
2000-11-10,1.151093
2000-11-13,1.161586
2000-11-14,1.163332
2000-11-15,1.1634
2000-11-16,1.166113
2000-11-17,1.168341
2000-11-20,1.178946
2000-11-21,1.174053
2000-11-22,1.180622
2000-11-23,1.184795
2000-11-24,1.185708
2000-11-27,1.189913
2000-11-28,1.172333
2000-11-29,1.167376
2000-11-30,1.161635
2000-12-01,1.142433
2000-12-04,1.138288
2000-12-05,1.126937
2000-12-06,1.138938
2000-12-07,1.118216
2000-12-08,1.129679
2000-12-11,1.131862
2000-12-12,1.139748
2000-12-13,1.146985
2000-12-14,1.131143
2000-12-15,1.11541
2000-12-18,1.110655
2000-12-19,1.119494
2000-12-20,1.107702
2000-12-21,1.092707
2000-12-22,1.085866
2000-12-25,1.077462
2000-12-26,1.072888
2000-12-27,1.073556
2000-12-28,1.078665
2000-12-29,1.074667
2001-01-01,1.061508
2001-01-02,1.05845
2001-01-03,1.04744
2001-01-04,1.054179
2001-01-05,1.049468
2001-01-08,1.045454
2001-01-09,1.064702
2001-01-10,1.060258
2001-01-11,1.062284
2001-01-12,1.050234
2001-01-15,1.061777
2001-01-16,1.063138
2001-01-17,1.065786
2001-01-18,1.065112
2001-01-19,1.070763
2001-01-22,1.069904
2001-01-23,1.062009
2001-01-24,1.074255
2001-01-25,1.093981
2001-01-26,1.078416
2001-01-29,1.082986
2001-01-30,1.090988
2001-01-31,1.075575
2001-02-01,1.063294
2001-02-02,1.063088
2001-02-05,1.062334
2001-02-06,1.066745
2001-02-07,1.076642
2001-02-08,1.079189
2001-02-09,1.09079
2001-02-12,1.077379
2001-02-13,1.079439
2001-02-14,1.08815
2001-02-15,1.09558
2001-02-16,1.097312
2001-02-19,1.0943
2001-02-20,1.099242
2001-02-21,1.100875
2001-02-22,1.104133
2001-02-23,1.107115
2001-02-26,1.098216
2001-02-27,1.092756
2001-02-28,1.08291
2001-03-01,1.078682
2001-03-02,1.067578
2001-03-05,1.075236
2001-03-06,1.07987
2001-03-07,1.07275
2001-03-08,1.071673
2001-03-09,1.072125
2001-03-12,1.071065
2001-03-13,1.082468
2001-03-14,1.09528
2001-03-15,1.099099
2001-03-16,1.117503
2001-03-19,1.118314
2001-03-20,1.108907
2001-03-21,1.100258
2001-03-22,1.124276
2001-03-23,1.125816
2001-03-26,1.121251
2001-03-27,1.116905
2001-03-28,1.128144
2001-03-29,1.133307
2001-03-30,1.139699
2001-04-02,1.141634
2001-04-03,1.129183
2001-04-04,1.115573
2001-04-05,1.110088
2001-04-06,1.110445
2001-04-09,1.107507
2001-04-10,1.114641
2001-04-11,1.123582
2001-04-12,1.129772
2001-04-13,1.12455
2001-04-16,1.124796
2001-04-17,1.13748
2001-04-18,1.135062
2001-04-19,1.131546
2001-04-20,1.11526
2001-04-23,1.115037
2001-04-24,1.114776
2001-04-25,1.118193
2001-04-26,1.114639
2001-04-27,1.107285
2001-04-30,1.122293
2001-05-01,1.125387
2001-05-02,1.119494
2001-05-03,1.116269
2001-05-04,1.124768
2001-05-07,1.120722
2001-05-08,1.123175
2001-05-09,1.130823
2001-05-10,1.129369
2001-05-11,1.135252
2001-05-14,1.143004
2001-05-15,1.144508
2001-05-16,1.138045
2001-05-17,1.132552
2001-05-18,1.1335
2001-05-21,1.135899
2001-05-22,1.140804
2001-05-23,1.156465
2001-05-24,1.168643
2001-05-25,1.166919
2001-05-28,1.162048
2001-05-29,1.163034
2001-05-30,1.169112
2001-05-31,1.167387
2001-06-01,1.182646
2001-06-04,1.179829
2001-06-05,1.180638
2001-06-06,1.17136
2001-06-07,1.179732
2001-06-08,1.175054
2001-06-11,1.176056
2001-06-12,1.187719
2001-06-13,1.172264
2001-06-14,1.170344
2001-06-15,1.159219
2001-06-18,1.15848
2001-06-19,1.161238
2001-06-20,1.171303
2001-06-21,1.170001
2001-06-22,1.170823
2001-06-25,1.166861
2001-06-26,1.163602
2001-06-27,1.157876
2001-06-28,1.163602
2001-06-29,1.184624
2001-07-02,1.176955
2001-07-03,1.179523
2001-07-04,1.178828
2001-07-05,1.180289
2001-07-06,1.1956
2001-07-09,1.180707
2001-07-10,1.175433
2001-07-11,1.16918
2001-07-12,1.165365
2001-07-13,1.171646
2001-07-16,1.170823
2001-07-17,1.173158
2001-07-18,1.163941
2001-07-19,1.145082
2001-07-20,1.14771
2001-07-24,1.150682
2001-07-25,1.145475
2001-07-26,1.140706
2001-07-27,1.139147
2001-07-30,1.140706
2001-07-31,1.144034
2001-08-01,1.141227
2001-08-02,1.135332
2001-08-03,1.132054
2001-08-06,1.131222
2001-08-07,1.134881
2001-08-08,1.140056
2001-08-09,1.134687
2001-08-10,1.121202
2001-08-13,1.119382
2001-08-14,1.114889
2001-08-15,1.108033
2001-08-16,1.094331
2001-08-17,1.097333
2001-08-20,1.090453
2001-08-21,1.093912
2001-08-22,1.089087
2001-08-23,1.094571
2001-08-24,1.092657
2001-08-27,1.093673
2001-08-28,1.097333
2001-08-29,1.09583
2001-08-30,1.10017
2001-08-31,1.091703
2001-09-03,1.097574
2001-09-04,1.102232
2001-09-05,1.12619
2001-09-06,1.12905
2001-09-07,1.117443
2001-09-10,1.101989
2001-09-11,1.113462
2001-09-13,1.103083
2001-09-14,1.100292
2001-09-17,1.086189
2001-09-18,1.081256
2001-09-19,1.07904
2001-09-20,1.078923
2001-09-21,1.078749
2001-09-24,1.093255
2001-09-25,1.091167
2001-09-26,1.083893
2001-09-27,1.083365
2001-09-28,1.089384
2001-10-01,1.098901
2001-10-02,1.090037
2001-10-03,1.089503
2001-10-04,1.094451
2001-10-05,1.0898
2001-10-08,1.088554
2001-10-09,1.086484
2001-10-10,1.09511
2001-10-11,1.098177
2001-10-12,1.108095
2001-10-15,1.096852
2001-10-16,1.100897
2001-10-17,1.10114
2001-10-18,1.108095
2001-10-19,1.107052
2001-10-22,1.112842
2001-10-23,1.121894
2001-10-24,1.123659
2001-10-25,1.119257
2001-10-26,1.120574
2001-10-29,1.120134
2001-10-30,1.105767
2001-10-31,1.105767
2001-11-01,1.110864
2001-11-05,1.107972
2001-11-06,1.113276
2001-11-07,1.1152
2001-11-08,1.11402
2001-11-09,1.119758
2001-11-13,1.117693
2001-11-14,1.135912
2001-11-15,1.131798
2001-11-16,1.13443
2001-11-19,1.130646
2001-11-20,1.136622
2001-11-21,1.132759
2001-11-22,1.137333
2001-11-23,1.138887
2001-11-26,1.139017
2001-11-27,1.135783
2001-11-28,1.132824
2001-11-29,1.127714
2001-11-30,1.12676
2001-12-03,1.115511
2001-12-04,1.12328
2001-12-05,1.123217
2001-12-06,1.127015
2001-12-07,1.117381
2001-12-10,1.123091
2001-12-11,1.123091
2001-12-12,1.122776
2001-12-13,1.113152
2001-12-14,1.120197
2001-12-17,1.106746
2001-12-18,1.106562
2001-12-19,1.108156
2001-12-20,1.10994
2001-12-21,1.110618
2001-12-24,1.125682
2001-12-26,1.134752
2001-12-27,1.13688
2001-12-28,1.132567
2001-12-31,1.132311
2002-01-02,1.12429
2002-01-03,1.106991
2002-01-04,1.112842
2002-01-07,1.115885
2002-01-08,1.119695
2002-01-09,1.119758
2002-01-10,1.121516
2002-01-11,1.121516
2002-01-14,1.119006
2002-01-15,1.118693
2002-01-16,1.122712
2002-01-17,1.132759
2002-01-18,1.134623
2002-01-21,1.128987
2002-01-22,1.131606
2002-01-23,1.128413
2002-01-24,1.138563
2002-01-25,1.138952
2002-01-28,1.155802
2002-01-29,1.159555
2002-01-30,1.155936
2002-01-31,1.161036
2002-02-01,1.16428
2002-02-04,1.161305
2002-02-05,1.148897
2002-02-06,1.151875
2002-02-07,1.152538
2002-02-08,1.147974
2002-02-11,1.148699
2002-02-12,1.140446
2002-02-13,1.140836
2002-02-14,1.148238
2002-02-15,1.144427
2002-02-18,1.145082
2002-02-19,1.148567
2002-02-20,1.141227
2002-02-21,1.149954
2002-02-22,1.149425
2002-02-25,1.143184
2002-02-26,1.150549
2002-02-27,1.157273
2002-02-28,1.155535
2002-03-01,1.151145
2002-03-04,1.156404
2002-03-05,1.150152
2002-03-06,1.14646
2002-03-07,1.141618
2002-03-08,1.133016
2002-03-11,1.143838
2002-03-12,1.142074
2002-03-13,1.142922
2002-03-14,1.141813
2002-03-18,1.136299
2002-03-19,1.133144
2002-03-20,1.132952
2002-03-21,1.130007
2002-03-22,1.133466
2002-03-25,1.140511
2002-03-26,1.139601
2002-03-27,1.140511
2002-03-28,1.145804
2002-03-29,1.147118
2002-04-01,1.145804
2002-04-02,1.135654
2002-04-03,1.137074
2002-04-04,1.135074
2002-04-05,1.139276
2002-04-08,1.13811
2002-04-09,1.143249
2002-04-10,1.135654
2002-04-11,1.136945
2002-04-12,1.132567
2002-04-15,1.136945
2002-04-16,1.136751
2002-04-17,1.133658
2002-04-18,1.123154
2002-04-19,1.12246
2002-04-22,1.123659
2002-04-23,1.125746
2002-04-24,1.125176
2002-04-25,1.120009
2002-04-26,1.113586
2002-04-29,1.109447
2002-04-30,1.106256
2002-05-01,1.110618
2002-05-02,1.103327
2002-05-03,1.106684
2002-05-06,1.091286
2002-05-07,1.08885
2002-05-08,1.093733
2002-05-09,1.105156
2002-05-10,1.100473
2002-05-13,1.09559
2002-05-14,1.096852
2002-05-15,1.107726
2002-05-16,1.102597
2002-05-17,1.096732
2002-05-20,1.086484
2002-05-21,1.085894
2002-05-22,1.087075
2002-05-23,1.080147
2002-05-24,1.08554
2002-05-27,1.086602
2002-05-28,1.085894
2002-05-29,1.07747
2002-05-30,1.069233
2002-05-31,1.068148
2002-06-04,1.063604
2002-06-05,1.064056
2002-06-06,1.065076
2002-06-07,1.056189
2002-06-10,1.059771
2002-06-11,1.05921
2002-06-12,1.054519
2002-06-13,1.058986
2002-06-14,1.060895
2002-06-17,1.058257
2002-06-18,1.059322
2002-06-19,1.050089
2002-06-20,1.044386
2002-06-21,1.036377
2002-06-24,1.031885
2002-06-25,1.030609
2002-06-26,1.021138
2002-06-27,1.01776
2002-06-28,1.011378
2002-07-01,1.00776
2002-07-02,1.008675
2002-07-03,1.013685
2002-07-04,1.020044
2002-07-05,1.022181
2002-07-09,1.009795
2002-07-10,1.008624
2002-07-11,1.010458
2002-07-12,1.012248
2002-07-15,1.006391
2002-07-17,0.992654
2002-07-18,0.991031
2002-07-19,0.988973
2002-07-22,0.991228
2002-07-23,0.99231
2002-07-24,1.008522
2002-07-25,1.003311
2002-07-26,0.996214
2002-07-30,1.018952
2002-07-31,1.01657
2002-08-01,1.02328
2002-08-02,1.016054
2002-08-05,1.013839
2002-08-06,1.018589
2002-08-07,1.035518
2002-08-08,1.027063
2002-08-09,1.034875
2002-08-12,1.029124
2002-08-13,1.022025
2002-08-14,1.015744
2002-08-15,1.021659
2002-08-16,1.018434
2002-08-19,1.015744
2002-08-20,1.023961
2002-08-21,1.020981
2002-08-22,1.02119
2002-08-23,1.032631
2002-08-26,1.028119
2002-08-27,1.029866
2002-08-28,1.01688
2002-08-29,1.021659
2002-08-30,1.01528
2002-09-02,1.018278
2002-09-03,1.016054
2002-09-04,1.003059
2002-09-05,1.008014
2002-09-06,1.008929
2002-09-09,1.019212
2002-09-11,1.027644
2002-09-12,1.026905
2002-09-13,1.018745
2002-09-16,1.028542
2002-09-17,1.033058
2002-09-18,1.026009
2002-09-19,1.023961
2002-09-20,1.013017
2002-09-23,1.019992
2002-09-24,1.023803
2002-09-25,1.023175
2002-09-26,1.024013
2002-09-27,1.023541
2002-09-30,1.019004
2002-10-01,1.011583
2002-10-02,1.018278
2002-10-03,1.013736
2002-10-04,1.012453
2002-10-07,1.021085
2002-10-08,1.017346
2002-10-09,1.021607
2002-10-10,1.009591
2002-10-11,1.014559
2002-10-14,1.012812
2002-10-15,1.013171
2002-10-16,1.01942
2002-10-17,1.019368
2002-10-18,1.02976
2002-10-22,1.027327
2002-10-23,1.025694
2002-10-24,1.025063
2002-10-25,1.022704
2002-10-28,1.023856
2002-10-29,1.015538
2002-10-30,1.01776
2002-10-31,1.015796
2002-11-05,1.003059
2002-11-06,1.001151
2002-11-07,0.997606
2002-11-08,0.991031
2002-11-11,0.986972
2002-11-12,0.98956
2002-11-13,0.989071
2002-11-14,0.991572
2002-11-15,0.994431
2002-11-18,0.991228
2002-11-19,0.992654
2002-11-20,0.997407
2002-11-21,0.997855
2002-11-22,0.99691
2002-11-25,1.004369
2002-11-26,1.007861
2002-11-27,1.007252
2002-11-28,1.009795
2002-11-29,1.005581
2002-12-02,1.005783
2002-12-03,1.007151
2002-12-04,1.004621
2002-12-05,0.998353
2002-12-06,0.998353
2002-12-11,0.991424
2002-12-12,0.991817
2002-12-13,0.981643
2002-12-16,0.97723
2002-12-17,0.977899
2002-12-18,0.972195
2002-12-20,0.973236
2002-12-27,0.963948
2002-12-30,0.958451
2002-12-31,0.956617
2003-01-03,0.965204
2003-01-06,0.958268
2003-01-07,0.958176
2003-01-08,0.959969
2003-01-09,0.952608
2003-01-10,0.953971
2003-01-13,0.946566
2003-01-14,0.948407
2003-01-15,0.946029
2003-01-16,0.947688
2003-01-17,0.94193
2003-01-21,0.938042
2003-01-22,0.932662
2003-01-23,0.932271
2003-01-28,0.921744
2003-01-29,0.924001
2003-01-30,0.923105
2003-01-31,0.927214
2003-02-03,0.929714
2003-02-04,0.932097
2003-02-05,0.919836
2003-02-06,0.927171
2003-02-07,0.922637
2003-02-08,0.922637
2003-02-09,0.922637
2003-02-10,0.924599
2003-02-11,0.933227
2003-02-12,0.930103
2003-02-13,0.932357
2003-02-14,0.92302
2003-02-15,0.92302
2003-02-16,0.92302
2003-02-17,0.931923
2003-02-18,0.932879
2003-02-19,0.935322
2003-02-20,0.930406
2003-02-21,0.924599
2003-02-22,0.924599
2003-02-23,0.924599
2003-02-24,0.931402
2003-02-25,0.926097
2003-02-26,0.929282
2003-02-27,0.927257
2003-02-28,0.927257
2003-03-01,0.927257
2003-03-02,0.927257
2003-03-03,0.925797
2003-03-04,0.918231
2003-03-05,0.918274
2003-03-06,0.911951
2003-03-07,0.911951
2003-03-08,0.911951
2003-03-09,0.911951
2003-03-10,0.907935
2003-03-11,0.9042
2003-03-12,0.906043
2003-03-13,0.906043
2003-03-14,0.927085
2003-03-15,0.927085
2003-03-16,0.927085
2003-03-17,0.927085
2003-03-18,0.927085
2003-03-19,0.939585
2003-03-20,0.945805
2003-03-21,0.943085
2003-03-22,0.943085
2003-03-23,0.943085
2003-03-24,0.943085
2003-03-25,0.93791
2003-03-26,0.93791
2003-03-27,0.93791
2003-03-28,0.935235
2003-03-29,0.935235
2003-03-30,0.935235
2003-03-31,0.92366
2003-04-01,0.915332
2003-04-02,0.913826
2003-04-03,0.928764
2003-04-04,0.9298
2003-04-05,0.9298
2003-04-06,0.9298
2003-04-07,0.9298
2003-04-08,0.939143
2003-04-09,0.939143
2003-04-10,0.92829
2003-04-11,0.927128
2003-04-12,0.927128
2003-04-13,0.927128
2003-04-14,0.931055
2003-04-15,0.927472
2003-04-16,0.926012
2003-04-17,0.926012
2003-04-18,0.926012
2003-04-19,0.926012
2003-04-20,0.926012
2003-04-21,0.926012
2003-04-22,0.919752
2003-04-23,0.912409
2003-04-24,0.912409
2003-04-25,0.912409
2003-04-26,0.912409
2003-04-27,0.912409
2003-04-28,0.905264
2003-04-29,0.905264
2003-04-30,0.899888
2003-05-01,0.894855
2003-05-02,0.894855
2003-05-03,0.894855
2003-05-04,0.894855
2003-05-05,0.894855
2003-05-06,0.886211
2003-05-07,0.874546
2003-05-08,0.883626
2003-05-09,0.870019
2003-05-10,0.870019
2003-05-11,0.870019
2003-05-12,0.866138
2003-05-13,0.865426
2003-05-14,0.867905
2003-05-15,0.87165
2003-05-16,0.878542
2003-05-17,0.878542
2003-05-18,0.878542
2003-05-19,0.856311
2003-05-20,0.858111
2003-05-21,0.853607
2003-05-22,0.858811
2003-05-23,0.856568
2003-05-24,0.845451
2003-05-25,0.845451
2003-05-26,0.845988
2003-05-27,0.841645
2003-05-28,0.841645
2003-05-29,0.851173
2003-05-30,0.84129
2003-05-31,0.84129
2003-06-01,0.849437
2003-06-02,0.85306
2003-06-03,0.850015
2003-06-04,0.852624
2003-06-05,0.859033
2003-06-06,0.843099
2003-06-07,0.843099
2003-06-08,0.843099
2003-06-09,0.843099
2003-06-10,0.853388
2003-06-11,0.856531
2003-06-12,0.851861
2003-06-13,0.849834
2003-06-14,0.849834
2003-06-15,0.849834
2003-06-16,0.841999
2003-06-17,0.845023
